No. of days,C_10ppt_r1,C_10ppt_r2,T_10ppt_r1,T_10ppt_r2,C_20ppt_r1,C_20ppt_r2,T_20ppt_r1,T_20ppt_r2
0,0,0,0,0,0,0,0,0
1,0.381772137,0.422327037,0.38462928,0.336603018,0.25886094,0.339471074,0.254710489,0.294885478
2,0.727275393,0.77621828,0.750391743,0.668676988,0.519600944,0.63822317,0.525780511,0.543941009
3,1.029417293,1.07914145,1.052420113,0.952205122,0.752676815,0.92005549,0.784422217,0.785773318
4,1.308611504,1.367712164,1.305060113,1.174184347,0.94877585,1.178280511,1.007123841,1.003994797
5,1.535014144,1.631724422,1.538585573,1.349578029,1.150416963,1.405707202,1.22374144,1.191423841
6,1.741825658,1.858117204,1.721111372,1.492142857,1.332008929,1.602672963,1.399113909,1.352050767
7,1.979903507,2.036907895,1.819285714,1.631308543,1.495940221,1.778923241,1.544285714,1.485534234
8,2.149586542,2.155533771,1.896411782,1.722339135,1.624726089,1.94204554,1.644426862,1.605116639
9,2.296069079,2.271536832,1.969462226,1.807962876,1.754808277,2.100755269,1.736922164,1.718613583
10,2.414285714,2.363066604,2.037142857,1.870921053,1.885612075,2.239572136,1.824285714,1.80885785
11,2.493979255,2.426053748,2.082142857,1.913193069,2.000453571,2.353941009,1.902142857,1.891428571
12,2.679805517,2.52518859,2.172142857,2.034019769,2.106720941,2.452646641,1.975885429,1.967646641
13,2.797766683,2.612857143,2.233479793,2.11587641,2.194285714,2.533571429,2.042142857,2.031868949
14,2.833579652,2.6692257,2.261436795,2.142079417,2.265071195,2.604678335,2.094225024,2.087535478
15,2.919394972,2.730039944,2.307142857,2.197894737,2.330224626,2.668571429,2.142246428,2.136772706
16,2.994487782,2.8,2.348773496,2.257273261,2.401561905,2.735714286,2.197857143,2.188571429
17,3.049165883,2.865943374,2.393571429,2.294736842,2.476490476,2.797857143,2.25922629,2.235215588
18,3.089036244,2.922857143,2.42975053,2.323571429,2.544986905,2.854285714,2.317008557,2.278571429
19,3.163804808,2.986476898,2.475,2.38218875,2.598494048,2.907857143,2.362658333,2.320284534
20,3.198571429,2.997142857,2.494285714,2.4,2.627142857,2.917142857,2.387857143,2.327857143
